company,layoffs,report_date,Industry,HQ,company_status
Toast,550,2024-02-15,Point-of-sale platform,Boston,Public
Cisco,4250,2024-02-14,"Enterprise software, SaaS","San Jose, CA",Public
Upside Foods,16,2024-02-14,Alternative protein,"Berkeley, CA",Private
Paramount Global,800,2024-02-13,Logistics,"La Mirada, CA",Private
Instacart,250,2024-02-13,"Delivery, e-commerce",San Francisco,Public
Redesign Health,77,2024-02-13,Health care,New York,Private
Mozilla,60,2024-02-13,Internet,"Mountain View, CA",Private
Riskified,40,2024-02-13,"E-commerce, security",New York,Public
Pure Storage,275,2024-02-08,Cloud computing,"Santa Clara, CA",Public
Grammarly,230,2024-02-07,AI,San Francisco,Private
Fireblocks,20,2024-02-07,"Blockchain, cryptocurrency",New York,Private
DocuSign,440,2024-02-06,E-signature,San Francisco,Public
Amazon,400,2024-02-06,E-commerce,Seattle,Public
Impact.com,40,2024-02-05,Sales,"Santa Barbara, CA",Private
BillGO,80,2024-02-05,Fintech,"Fort Collins, CO",Private
Drizly,168,2024-02-05,E-commerce,Boston,Private
Snap,500,2025-02-05,Social media,"Venice, CA",Public
Cue Health,209,2024-02-02,Health care,San Diego,Public
Zoom,150,2024-02-01,"Video conferencing, IT","San Jose, CA",Public
Okta,400,2024-02-01,"Enterprise software, management information systems",San Francisco,Public
Illumina,111,2024-02-01,Biotech,San Diego,Public
The Messenger,300,2024-01-31,Media,"West Palm Beach, FL",Private
Thinx,95,2024-01-31,E-commerce,New York,Private
Proofpoint,260,2024-01-31,Cybersecurity,"Sunnyvale, CA",Public
PayPal,2500,2024-01-30,Fintech,"San Jose, CA",Public
Aurora Solar,500,2024-01-30,Clean energy SaaS,San Francisco,Private
Block,1000,2024-01-30,Fintech,"Oakland, CA",Public
iRobot,350,2024-01-29,AI robots,"Bedford, MA",Public
TechCrunch,8,2024-01-20,Digital news,San Francisco,Private
DispatchHealth,88,2024-01-19,Health care,Denver,Private
Flexport,520,2024-01-26,Logistics,San Francisco,Private
Salesforce,700,2024-01-26,"Enterprise tech, analytics",San Francisco,Public
Microsoft,1900,2024-01-25,Enterprise software,Seattle,Public
Veho,65,2024-01-25,Logistics,"Boulder, CO",Private
HubSpot,20,2024-01-24,"Marketing, SaaS","Cambridge, MA",Public
Brex,282,2024-01-23,Fintech,San Francisco,Private
Vroom,800,2024-01-23,"E-commerce, autos","Houston, TX",Public
eBay,1000,2024-01-23,"E-commerce, retail","San Jose, CA",Public
